total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
17127,12.678340336368702,100,209.308,yolov5l,0.8620159228642782,3,14.841881,82.7,0.284447419,0.28298330307006836,4072.2638309001923,7164.436236619949
17128,12.357725753877379,100,293.69,yolov5l,0.4296686003605525,18,22.739322,85.5,0.514014635,0.5124616622924805,4072.7340013980865,7164.994841337204
17129,13.081267475569094,100,346.452,yolov5l,0.8003794090314345,11,17.754898,92.1,0.343392094,0.3414323329925537,4073.053570508957,7165.396321296692
17130,13.194940420111195,100,189.548,yolov5l,0.6116235901912054,6,19.114087,88.1,0.409856858,0.40792298316955566,4073.4368386268616,7165.852098703384
17131,12.336168502609059,100,124.463,yolov5l,0.648394806517495,9,29.746201,87.6,0.621693029,0.6203854084014893,4074.0031414031982,7166.493098258972
17132,12.92488086053923,100,219.283,yolov5l,0.695440842045678,9,19.701366,86.4,0.440890543,0.43958544731140137,4074.397842645645,7166.963684558868
17133,13.006861576804802,100,289.137,yolov5l,0.6321386587619782,25,21.584906,85.7,0.48185739299999997,0.4805178642272949,4074.8300614356995,7167.484014034271
17134,12.566244564277866,100,253.253,yolov5l,0.8730721712112427,5,25.227292,87.1,0.562819741,0.5615537166595459,4075.3507976531982,7168.085569381714
17135,11.808892655407037,100,324.253,yolov5l,0.7740271985530853,2,22.517154,92.2,0.503349919,0.5015466213226318,4075.8299753665924,7168.6323325634
17136,11.239685259840384,100,190.449,yolov5l,0.671090054512024,5,22.604007,86.2,0.493860871,0.4920542240142822,4076.281841278076,7169.163749217987
17137,11.46400014915347,100,56.587,yolov5l,0.9098654687404633,2,21.442084,88.3,0.46096761599999997,0.45963597297668457,4076.680018424988,7169.639938592911
17138,11.86528853112618,100,210.881,yolov5l,0.5859081827931933,18,20.823677,85.2,0.441528722,0.4403076171875,4077.052211999893,7170.107792139053
17139,12.006071021144638,100,328.579,yolov5l,0.5118102431297302,2,21.697088,86.6,0.489733568,0.488478422164917,4077.4770770072937,7170.64041185379
17140,12.232875005147115,100,198.894,yolov5l,0.6279196207937987,23,22.506656,90.5,0.487162851,0.4851863384246826,4077.926611185074,7171.158004522324
17141,11.107459964749065,100,211.643,yolov5l,0.6315622112967751,11,22.198185,89.9,0.493586616,0.49228358268737793,4078.3584978580475,7171.680134057999
17142,11.441431918880301,100,373.317,yolov5l,0.6686694622039795,13,31.183758,86.0,0.684914666,0.6829848289489746,4079.0151228904724,7172.424233198166
17143,11.867020455482647,100,232.825,yolov5l,0.6557320058345795,17,20.971443,84.0,0.462348625,0.4611046314239502,4079.4226808547974,7172.920759439468
17144,12.263483834011321,100,132.998,yolov5l,0.7096101611852645,20,15.322043,85.1,0.34739462,0.34554457664489746,4079.7155599594116,7173.292734146118
17145,11.848499695460514,100,228.904,yolov5l,0.8420185595750809,4,17.67714,87.2,0.384289774,0.3829834461212158,4080.0393142700195,7173.707549095154
