total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
12350,16.54597202698184,100,247.944,yolov5m,0.34252455830574036,1,8.593484,74.5,0.189821213,0.18810701370239258,802.9888389110565,3653.5057027339935
12351,16.348345618984848,100,174.731,yolov5m,0.7762629985809326,5,9.112342,76.0,0.22526524299999998,0.22321844100952148,803.1949002742767,3653.766584634781
12352,16.603391042442436,100,199.549,yolov5m,0.6553785726428032,12,9.30326,70.8,0.251882616,0.24878883361816406,803.4360795021057,3654.0656192302704
12353,16.477984054179803,100,153.704,yolov5m,0.9037402669588724,3,10.571384,76.4,0.279307266,0.27755117416381836,803.6880798339844,3654.3828744888306
12354,16.82820605461798,100,240.174,yolov5m,0.5060252142804009,14,9.733008,74.2,0.249053003,0.2478325366973877,803.9131519794464,3654.670830965042
12355,15.922775044540243,100,293.995,yolov5m,0.4365856349468231,4,8.180155,60.3,0.240790653,0.23922967910766602,804.1516652107239,3654.972724914551
12356,16.941873335267225,100,253.646,yolov5m,0.720426619052887,9,8.249063,61.9,0.234307987,0.23310518264770508,804.361807346344,3655.2469806671143
12357,16.905488209150985,100,289.795,yolov5m,0.5319839492440224,20,9.568518,69.9,0.248961887,0.24741363525390625,804.5967738628387,3655.5435473918915
12358,16.083354179677393,100,211.627,yolov5m,0.6416302820046743,3,8.594461,74.0,0.211916709,0.20977306365966797,804.801760673523,3655.7990050315857
12359,16.936072331863503,100,210.119,yolov5m,0.5787479796192863,11,10.9816,75.9,0.278874056,0.2765026092529297,805.0582129955292,3656.1134209632874
12360,16.932200877494733,100,150.144,yolov5m,0.5915962755680084,3,8.014994,78.7,0.176778871,0.17535781860351562,805.2027621269226,3656.316879272461
12361,16.54851952919191,100,175.159,yolov5m,0.8981489539146423,3,9.123573,77.0,0.235368139,0.23337888717651367,805.4104883670807,3656.585248708725
12362,17.36247008206527,100,234.075,yolov5m,0.5560659343997637,12,9.905492,75.2,0.248481388,0.24724960327148438,805.6328294277191,3656.870712041855
12363,17.307821618192108,100,325.758,yolov5m,0.878426194190979,1,9.052345,62.3,0.264412735,0.26220703125,805.8841614723206,3657.190723657608
12364,17.63306255593756,100,198.437,yolov5m,0.5564419627189636,3,6.900312,63.8,0.186516819,0.1846308708190918,806.0529947280884,3657.4113218784332
12365,16.68406804347035,100,228.188,yolov5m,0.6586778814142401,11,7.144513,63.0,0.16527848,0.16369080543518066,806.1995820999146,3657.61239528656
12366,18.779904079783574,100,288.789,yolov5m,0.651796688636144,3,7.940593,60.4,0.207121289,0.20563006401062012,806.3969268798828,3657.872835636139
12367,17.327651880963305,100,300.876,yolov5m,0.8551155924797058,2,7.904704,61.9,0.20776858799999998,0.20649194717407227,806.5800650119781,3658.1266326904297
12368,18.62546318816184,100,188.516,yolov5m,0.6846344992518425,4,8.937538,76.7,0.233920205,0.23199224472045898,806.7907564640045,3658.394859313965
12369,18.267603747634528,100,249.055,yolov5m,0.6263322581847509,12,9.402137,75.0,0.241433,0.23978209495544434,807.0213761329651,3658.6752433776855
12370,16.32489914050867,100,228.21,yolov5m,0.8400251865386963,2,9.233619,76.7,0.24238968100000002,0.24106240272521973,807.2517607212067,3658.9591166973114
12371,17.767832361688477,100,217.623,yolov5m,0.42130522926648456,3,8.049174,76.7,0.206372608,0.20506596565246582,807.4441194534302,3659.2027707099915
12372,18.33578608603019,100,282.258,yolov5m,0.9016962945461273,2,9.208656,75.1,0.235945944,0.23478937149047852,807.6511042118073,3659.4829666614532
12373,18.387196348060822,100,315.335,yolov5m,0.5336575905481974,6,10.400913,70.8,0.276762414,0.27549242973327637,807.9267134666443,3659.81862449646
12374,18.76774867767672,100,278.728,yolov5m,0.5481695252306321,17,8.125406,61.0,0.229778561,0.22840213775634766,808.1463479995728,3660.0928812026978
12375,18.65500509823914,100,131.888,yolov5m,0.5798799842596054,4,9.62583,61.3,0.295716341,0.2936384677886963,808.4291360378265,3660.4136476516724
12376,18.024744830502343,100,277.892,yolov5m,0.6458233552319663,7,8.001566,59.5,0.23606281299999998,0.23468422889709473,808.6487860679626,3660.6912744045258
12377,16.752300402522167,100,177.065,yolov5m,0.5683813393115997,6,11.718415,68.5,0.324026644,0.3224480152130127,808.9504859447479,3661.0468940734863
12378,18.72628515357383,100,215.87,yolov5m,0.6632016263902187,8,8.988441,74.1,0.23143898999999998,0.230177640914917,809.1666257381439,3661.318940639496
12379,18.390368997683648,100,255.855,yolov5m,0.796611738204956,5,11.174043,84.9,0.259473868,0.25751614570617676,809.4207348823547,3661.6328444480896
12380,18.530197281812278,100,325.984,yolov5m,0.7482303891863141,7,9.582189,72.7,0.25163336199999997,0.25023555755615234,809.6722333431244,3661.9441843032837
12381,17.759060290686165,100,173.772,yolov5m,0.8698931336402893,1,9.14408,77.6,0.23648623000000002,0.23457741737365723,809.8954811096191,3662.2191565036774
12382,18.92798305470323,100,207.931,yolov5m,0.6846481810013453,12,9.128883,74.3,0.24195831099999998,0.2401752471923828,810.1167957782745,3662.4955887794495
12383,19.503362578861672,100,203.578,yolov5m,0.4523031175136566,5,6.977521,62.4,0.17187182,0.16997790336608887,810.271418094635,3662.7049236297607
12384,18.820561360207744,100,248.311,yolov5m,0.685174184186118,7,7.356,65.3,0.167670092,0.16646957397460938,810.4242866039276,3662.914080142975
12385,17.671008933874475,100,304.195,yolov5m,0.5177615682284037,3,7.294353,57.5,0.170147778,0.16868901252746582,810.5892446041107,3663.131950378418
12386,17.181608199728853,100,185.281,yolov5m,0.8322294652462006,4,6.940901,63.3,0.197590007,0.19632744789123535,810.7656450271606,3663.363378763199
12387,18.162891188046455,100,281.348,yolov5m,0.8694889545440674,1,7.667216,60.4,0.22148621400000001,0.2203061580657959,810.9611659049988,3663.6254625320435
12388,19.235100919655764,100,136.197,yolov5m,0.5810002088546753,5,9.246253,76.1,0.24536138500000002,0.2441873550415039,811.1839599609375,3663.8951823711395
12389,18.74278104789406,100,147.355,yolov5m,0.714034914970398,1,9.689428,77.4,0.249866397,0.2482013702392578,811.4131121635437,3664.1791517734528
12390,19.373301668397357,100,180.141,yolov5m,0.7594356834888458,2,9.727454,75.2,0.252173137,0.2505064010620117,811.6422297954559,3664.463301897049
12391,18.358039136185937,100,168.817,yolov5m,0.8477638562520345,3,10.075474,77.2,0.252867156,0.2514007091522217,811.8678753376007,3664.7430460453033
12392,17.256183717203072,100,299.216,yolov5m,0.6252015233039856,3,7.466351,75.7,0.167643625,0.16635680198669434,812.0303630828857,3664.9607775211334
12393,17.22147104911184,100,313.339,yolov5m,0.5204702823058419,23,9.627783,73.4,0.245533159,0.24427056312561035,812.2664883136749,3665.2546808719635
12394,17.117851066784116,100,199.629,yolov5m,0.8604265749454498,2,7.973979,65.7,0.22228239000000002,0.2209169864654541,812.4648678302765,3665.514756679535
12395,18.216063372754952,100,317.849,yolov5m,0.6054712327627035,13,7.842875,58.3,0.23520743700000002,0.2339646816253662,812.6941652297974,3665.800861597061
12396,17.468308621508665,100,216.574,yolov5m,0.505491506485712,21,7.906107,64.3,0.22503328,0.2237997055053711,812.8933069705963,3666.0632424354553
12397,16.73432526161123,100,126.712,yolov5m,0.5178871055444082,3,7.647076,63.4,0.197427572,0.19526886940002441,813.0759747028351,3666.2908601760864
12398,17.666623892584738,100,202.526,yolov5m,0.7070568799972534,10,7.165632,67.5,0.15717446100000002,0.15554165840148926,813.2090785503387,3666.4864344596863
12399,18.058017042746602,100,264.741,yolov5m,0.5742085404120959,26,8.873024,71.4,0.23522100299999998,0.23398232460021973,813.437153339386,3666.773596048355
12400,17.237606246743965,100,245.13,yolov5m,0.5738160908222198,2,8.627358,71.9,0.20503050099999998,0.2030470371246338,813.6275510787964,3667.0238575935364
12401,18.376544971206517,100,163.251,yolov5m,0.7914067208766937,4,12.060821,82.0,0.3024165,0.30103635787963867,813.9229018688202,3667.365366458893
12402,17.74276001235628,100,257.743,yolov5m,0.7758131112371173,7,8.532266,73.8,0.197605555,0.19641542434692383,814.0992147922516,3667.608063220978
12403,18.559572750090496,100,154.967,yolov5m,0.6351863710503829,19,10.047521,75.9,0.25427544,0.25236988067626953,814.3371744155884,3667.8932168483734
