,total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_model_small,avg_conf_small,current_boxes_small,energy_consumption(J)_small,current_cpu_small,measure_duration(s)_small,current_model_medium,avg_conf_medium,current_boxes_medium,energy_consumption(J)_medium,current_cpu_medium,measure_duration(s)_medium,current_model_large,avg_conf_large,current_boxes_large,energy_consumption(J)_large,current_cpu_large,measure_duration(s)_large
262,4100,2.3460888060266125,100,280.837,yolov5n,0.605899163087209,15,1.332272,53.3,0.052720879,yolov5s,0.6630413002438016,18,2.78167,59.8,0.06889092,yolov5m,0.6621575579047203,20,8.005228,64.0,0.24071069,yolov5l,0.5870493054389954,2,11.758454,64.9,0.3204023279999999
263,16092,22.616387974300924,100,128.197,yolov5n,0.6195017397403717,2,1.33508,63.9,0.04702458,yolov5s,0.6802886366844177,5,5.342759,94.7,0.121794845,yolov5m,0.6981824189424515,6,9.115944,79.4,0.204918563,yolov5l,0.585029810667038,4,20.219125,84.9,0.454491543
264,4791,4.861203649290969,100,266.17,yolov5n,0.6768450694424766,7,1.335202,53.6,0.043254179,yolov5s,0.8040842754500253,7,4.219533,70.4,0.109794992,yolov5m,0.878635178009669,6,6.464583,53.8,0.150518931,yolov5l,0.6495533244950431,7,13.852504,63.5,0.338573219
265,24254,9.50353414627958,100,228.268,yolov5n,0.0,0,1.335446,55.0,0.04483261,yolov5s,0.2663716077804565,1,5.262132,89.1,0.132815683,yolov5m,0.474118709564209,1,8.227396,75.9,0.195919762,yolov5l,0.0,0,17.38405,81.2,0.3939224699999999
266,16176,24.413981050786838,100,329.415,yolov5n,0.6125817696253458,3,1.335507,50.0,0.041751978,yolov5s,0.7729552984237671,8,4.999377,80.7,0.1175676309999999,yolov5m,0.7286681950092315,10,11.394136,85.5,0.250981539,yolov5l,0.592058960880552,7,21.762213,93.7,0.4604247629999999
267,4789,5.079703026634574,100,341.667,yolov5n,0.703408739396504,7,1.335568,30.8,0.056222194,yolov5s,0.7176040940814548,9,5.01317,76.1,0.123997891,yolov5m,0.743066543340683,10,8.431253,65.4,0.1981694819999999,yolov5l,0.6218735203146935,4,13.009244,64.8,0.283373124
268,4053,2.815562309341842,100,386.106,yolov5n,0.8993025422096252,1,1.335873,11.7,0.044563683,yolov5s,0.9172901511192322,1,4.118153,70.5,0.103419446,yolov5m,0.9449375867843628,1,6.253463,51.2,0.1574977619999999,yolov5l,0.729878822962443,3,8.976662,55.3,0.223169339
269,14857,20.33221213022,100,301.874,yolov5n,0.8065155148506165,2,1.340939,51.4,0.051715274,yolov5s,0.8643717467784882,2,4.321645,74.6,0.1111894299999999,yolov5m,0.8877249956130981,2,9.546667,78.1,0.210316595,yolov5l,0.7377884387969971,2,18.303908,89.5,0.356496069
270,23455,16.55442770925689,100,134.24,yolov5n,0.6286832945687431,7,1.341977,67.8,0.045004229,yolov5s,0.6508195772767067,8,3.87914,79.0,0.096287803,yolov5m,0.7193407671792167,7,9.985021,84.4,0.265509577,yolov5l,0.5754885510964827,11,19.516857,82.0,0.4900313939999999
271,19513,14.397219981143916,100,261.211,yolov5n,0.5381910800933838,1,1.350277,57.4,0.0352181379999999,yolov5s,0.6077807744344076,3,4.296864,85.7,0.1033736079999999,yolov5m,0.6557656129201254,3,9.247108,88.5,0.20259092,yolov5l,0.4957251350084941,3,19.402539,93.3,0.4116163929999999
